x     v
0.000000e+00      0.000000e+00
1.000100e-04      8.995945e-04
2.000200e-04      1.798190e-03
3.000300e-04      2.695787e-03
4.000400e-04      3.592387e-03
5.000500e-04      4.487991e-03
6.000600e-04      5.382599e-03
7.000700e-04      6.276214e-03
8.000800e-04      7.168835e-03
9.000900e-04      8.060463e-03
1.000100e-03      8.951101e-03
1.100110e-03      9.840748e-03
1.200120e-03      1.072941e-02
1.300130e-03      1.161708e-02
1.400140e-03      1.250376e-02
1.500150e-03      1.338946e-02
1.600160e-03      1.427417e-02
1.700170e-03      1.515789e-02
1.800180e-03      1.604064e-02
1.900190e-03      1.692240e-02
2.000200e-03      1.780318e-02
2.100210e-03      1.868298e-02
2.200220e-03      1.956180e-02
2.300230e-03      2.043964e-02
2.400240e-03      2.131650e-02
2.500250e-03      2.219239e-02
2.600260e-03      2.306730e-02
2.700270e-03      2.394124e-02
2.800280e-03      2.481420e-02
2.900290e-03      2.568619e-02
3.000300e-03      2.655721e-02
3.100310e-03      2.742726e-02
3.200320e-03      2.829634e-02
3.300330e-03      2.916445e-02
3.400340e-03      3.003159e-02
3.500350e-03      3.089777e-02
3.600360e-03      3.176298e-02
3.700370e-03      3.262723e-02
3.800380e-03      3.349051e-02
3.900390e-03      3.435283e-02
4.000400e-03      3.521418e-02
4.100410e-03      3.607458e-02
4.200420e-03      3.693401e-02
4.300430e-03      3.779249e-02
4.400440e-03      3.865001e-02
4.500450e-03      3.950657e-02
4.600460e-03      4.036218e-02
4.700470e-03      4.121683e-02
4.800480e-03      4.207052e-02
4.900490e-03      4.292327e-02
5.000500e-03      4.377506e-02
5.100510e-03      4.462589e-02
5.200520e-03      4.547578e-02
5.300530e-03      4.632472e-02
5.400540e-03      4.717271e-02
5.500550e-03      4.801975e-02
5.600560e-03      4.886585e-02
5.700570e-03      4.971100e-02
5.800580e-03      5.055521e-02
5.900590e-03      5.139847e-02
6.000600e-03      5.224079e-02
6.100610e-03      5.308216e-02
6.200620e-03      5.392260e-02
6.300630e-03      5.476209e-02
6.400640e-03      5.560065e-02
6.500650e-03      5.643827e-02
6.600660e-03      5.727495e-02
6.700670e-03      5.811069e-02
6.800680e-03      5.894550e-02
6.900690e-03      5.977938e-02
7.000700e-03      6.061232e-02
7.100710e-03      6.144433e-02
7.200720e-03      6.227541e-02
7.300730e-03      6.310555e-02
7.400740e-03      6.393477e-02
7.500750e-03      6.476306e-02
7.600760e-03      6.559042e-02
7.700770e-03      6.641685e-02
7.800780e-03      6.724236e-02
7.900790e-03      6.806694e-02
8.000800e-03      6.889060e-02
8.100810e-03      6.971333e-02
8.200820e-03      7.053514e-02
8.300830e-03      7.135603e-02
8.400840e-03      7.217600e-02
8.500850e-03      7.299505e-02
8.600860e-03      7.381319e-02
8.700870e-03      7.463040e-02
8.800880e-03      7.544670e-02
8.900890e-03      7.626208e-02
9.000900e-03      7.707654e-02
9.100910e-03      7.789009e-02
9.200920e-03      7.870273e-02
9.300930e-03      7.951446e-02
9.400940e-03      8.032528e-02
9.500950e-03      8.113518e-02
9.600960e-03      8.194417e-02
9.700970e-03      8.275226e-02
9.800980e-03      8.355944e-02
9.900990e-03      8.436571e-02
1.000100e-02      8.517108e-02
1.010101e-02      8.597554e-02
1.020102e-02      8.677910e-02
1.030103e-02      8.758175e-02
1.040104e-02      8.838350e-02
1.050105e-02      8.918435e-02
1.060106e-02      8.998430e-02
1.070107e-02      9.078335e-02
1.080108e-02      9.158150e-02
1.090109e-02      9.237875e-02
1.100110e-02      9.317511e-02
1.110111e-02      9.397057e-02
1.120112e-02      9.476514e-02
1.130113e-02      9.555881e-02
1.140114e-02      9.635159e-02
1.150115e-02      9.714347e-02
1.160116e-02      9.793447e-02
1.170117e-02      9.872457e-02
1.180118e-02      9.951378e-02
1.190119e-02      1.003021e-01
1.200120e-02      1.010895e-01
1.210121e-02      1.018761e-01
1.220122e-02      1.026618e-01
1.230123e-02      1.034465e-01
1.240124e-02      1.042304e-01
1.250125e-02      1.050134e-01
1.260126e-02      1.057956e-01
1.270127e-02      1.065768e-01
1.280128e-02      1.073572e-01
1.290129e-02      1.081367e-01
1.300130e-02      1.089153e-01
1.310131e-02      1.096930e-01
1.320132e-02      1.104698e-01
1.330133e-02      1.112458e-01
1.340134e-02      1.120209e-01
1.350135e-02      1.127951e-01
1.360136e-02      1.135685e-01
1.370137e-02      1.143410e-01
1.380138e-02      1.151126e-01
1.390139e-02      1.158833e-01
1.400140e-02      1.166532e-01
1.410141e-02      1.174222e-01
1.420142e-02      1.181903e-01
1.430143e-02      1.189575e-01
1.440144e-02      1.197239e-01
1.450145e-02      1.204894e-01
1.460146e-02      1.212541e-01
1.470147e-02      1.220179e-01
1.480148e-02      1.227808e-01
1.490149e-02      1.235429e-01
1.500150e-02      1.243041e-01
1.510151e-02      1.250645e-01
1.520152e-02      1.258239e-01
1.530153e-02      1.265826e-01
1.540154e-02      1.273403e-01
1.550155e-02      1.280972e-01
1.560156e-02      1.288533e-01
1.570157e-02      1.296085e-01
1.580158e-02      1.303628e-01
1.590159e-02      1.311163e-01
1.600160e-02      1.318690e-01
1.610161e-02      1.326207e-01
1.620162e-02      1.333717e-01
1.630163e-02      1.341218e-01
1.640164e-02      1.348710e-01
1.650165e-02      1.356194e-01
1.660166e-02      1.363669e-01
1.670167e-02      1.371136e-01
1.680168e-02      1.378594e-01
1.690169e-02      1.386044e-01
1.700170e-02      1.393486e-01
1.710171e-02      1.400919e-01
1.720172e-02      1.408344e-01
1.730173e-02      1.415760e-01
1.740174e-02      1.423168e-01
1.750175e-02      1.430567e-01
1.760176e-02      1.437958e-01
1.770177e-02      1.445341e-01
1.780178e-02      1.452715e-01
1.790179e-02      1.460081e-01
1.800180e-02      1.467438e-01
1.810181e-02      1.474787e-01
1.820182e-02      1.482128e-01
1.830183e-02      1.489461e-01
1.840184e-02      1.496785e-01
1.850185e-02      1.504101e-01
1.860186e-02      1.511408e-01
1.870187e-02      1.518707e-01
1.880188e-02      1.525998e-01
1.890189e-02      1.533281e-01
1.900190e-02      1.540555e-01
1.910191e-02      1.547821e-01
1.920192e-02      1.555079e-01
1.930193e-02      1.562329e-01
1.940194e-02      1.569570e-01
1.950195e-02      1.576803e-01
1.960196e-02      1.584028e-01
1.970197e-02      1.591245e-01
1.980198e-02      1.598453e-01
1.990199e-02      1.605653e-01
2.000200e-02      1.612845e-01
2.010201e-02      1.620029e-01
2.020202e-02      1.627205e-01
2.030203e-02      1.634372e-01
2.040204e-02      1.641531e-01
2.050205e-02      1.648683e-01
2.060206e-02      1.655826e-01
2.070207e-02      1.662960e-01
2.080208e-02      1.670087e-01
2.090209e-02      1.677206e-01
2.100210e-02      1.684316e-01
2.110211e-02      1.691419e-01
2.120212e-02      1.698513e-01
2.130213e-02      1.705599e-01
2.140214e-02      1.712677e-01
2.150215e-02      1.719747e-01
2.160216e-02      1.726809e-01
2.170217e-02      1.733863e-01
2.180218e-02      1.740909e-01
2.190219e-02      1.747947e-01
2.200220e-02      1.754976e-01
2.210221e-02      1.761998e-01
2.220222e-02      1.769012e-01
2.230223e-02      1.776018e-01
2.240224e-02      1.783015e-01
2.250225e-02      1.790005e-01
2.260226e-02      1.796987e-01
2.270227e-02      1.803961e-01
2.280228e-02      1.810926e-01
2.290229e-02      1.817884e-01
2.300230e-02      1.824834e-01
2.310231e-02      1.831776e-01
2.320232e-02      1.838710e-01
2.330233e-02      1.845636e-01
2.340234e-02      1.852554e-01
2.350235e-02      1.859464e-01
2.360236e-02      1.866367e-01
2.370237e-02      1.873261e-01
2.380238e-02      1.880148e-01
2.390239e-02      1.887026e-01
2.400240e-02      1.893897e-01
2.410241e-02      1.900760e-01
2.420242e-02      1.907615e-01
2.430243e-02      1.914462e-01
2.440244e-02      1.921301e-01
2.450245e-02      1.928133e-01
2.460246e-02      1.934957e-01
2.470247e-02      1.941772e-01
2.480248e-02      1.948580e-01
2.490249e-02      1.955381e-01
2.500250e-02      1.962173e-01
2.510251e-02      1.968958e-01
2.520252e-02      1.975735e-01
2.530253e-02      1.982504e-01
2.540254e-02      1.989265e-01
2.550255e-02      1.996019e-01
2.560256e-02      2.002764e-01
2.570257e-02      2.009502e-01
2.580258e-02      2.016233e-01
2.590259e-02      2.022955e-01
2.600260e-02      2.029670e-01
2.610261e-02      2.036377e-01
2.620262e-02      2.043077e-01
2.630263e-02      2.049769e-01
2.640264e-02      2.056453e-01
2.650265e-02      2.063129e-01
2.660266e-02      2.069798e-01
2.670267e-02      2.076459e-01
2.680268e-02      2.083112e-01
2.690269e-02      2.089758e-01
2.700270e-02      2.096396e-01
2.710271e-02      2.103027e-01
2.720272e-02      2.109650e-01
2.730273e-02      2.116265e-01
2.740274e-02      2.122872e-01
2.750275e-02      2.129472e-01
2.760276e-02      2.136065e-01
2.770277e-02      2.142650e-01
2.780278e-02      2.149227e-01
