x     v
0.000000e+00      0.000000e+00
1.000010e-05      8.999635e-05
2.000020e-05      1.799827e-04
3.000030e-05      2.699591e-04
4.000040e-05      3.599254e-04
5.000050e-05      4.498818e-04
6.000060e-05      5.398282e-04
7.000070e-05      6.297645e-04
8.000080e-05      7.196909e-04
9.000090e-05      8.096073e-04
1.000010e-04      8.995137e-04
1.100011e-04      9.894101e-04
1.200012e-04      1.079297e-03
1.300013e-04      1.169173e-03
1.400014e-04      1.259039e-03
1.500015e-04      1.348896e-03
1.600016e-04      1.438742e-03
1.700017e-04      1.528579e-03
1.800018e-04      1.618405e-03
1.900019e-04      1.708222e-03
2.000020e-04      1.798028e-03
2.100021e-04      1.887825e-03
2.200022e-04      1.977612e-03
2.300023e-04      2.067388e-03
2.400024e-04      2.157155e-03
2.500025e-04      2.246911e-03
2.600026e-04      2.336658e-03
2.700027e-04      2.426395e-03
2.800028e-04      2.516121e-03
2.900029e-04      2.605838e-03
3.000030e-04      2.695545e-03
3.100031e-04      2.785242e-03
3.200032e-04      2.874929e-03
3.300033e-04      2.964606e-03
3.400034e-04      3.054272e-03
3.500035e-04      3.143929e-03
3.600036e-04      3.233576e-03
3.700037e-04      3.323213e-03
3.800038e-04      3.412840e-03
3.900039e-04      3.502458e-03
4.000040e-04      3.592065e-03
4.100041e-04      3.681662e-03
4.200042e-04      3.771249e-03
4.300043e-04      3.860826e-03
4.400044e-04      3.950394e-03
4.500045e-04      4.039951e-03
4.600046e-04      4.129498e-03
4.700047e-04      4.219036e-03
4.800048e-04      4.308563e-03
4.900049e-04      4.398081e-03
5.000050e-04      4.487588e-03
5.100051e-04      4.577086e-03
5.200052e-04      4.666574e-03
5.300053e-04      4.756051e-03
5.400054e-04      4.845519e-03
5.500055e-04      4.934977e-03
5.600056e-04      5.024425e-03
5.700057e-04      5.113863e-03
5.800058e-04      5.203291e-03
5.900059e-04      5.292709e-03
6.000060e-04      5.382117e-03
6.100061e-04      5.471515e-03
6.200062e-04      5.560903e-03
6.300063e-04      5.650282e-03
6.400064e-04      5.739650e-03
6.500065e-04      5.829008e-03
6.600066e-04      5.918357e-03
6.700067e-04      6.007695e-03
6.800068e-04      6.097024e-03
6.900069e-04      6.186343e-03
7.000070e-04      6.275651e-03
7.100071e-04      6.364950e-03
7.200072e-04      6.454239e-03
7.300073e-04      6.543518e-03
7.400074e-04      6.632787e-03
7.500075e-04      6.722046e-03
7.600076e-04      6.811295e-03
7.700077e-04      6.900535e-03
7.800078e-04      6.989764e-03
7.900079e-04      7.078983e-03
8.000080e-04      7.168193e-03
8.100081e-04      7.257392e-03
8.200082e-04      7.346582e-03
8.300083e-04      7.435762e-03
8.400084e-04      7.524932e-03
8.500085e-04      7.614092e-03
8.600086e-04      7.703241e-03
8.700087e-04      7.792382e-03
8.800088e-04      7.881512e-03
8.900089e-04      7.970632e-03
9.000090e-04      8.059742e-03
9.100091e-04      8.148843e-03
9.200092e-04      8.237933e-03
9.300093e-04      8.327014e-03
9.400094e-04      8.416084e-03
9.500095e-04      8.505145e-03
9.600096e-04      8.594196e-03
9.700097e-04      8.683237e-03
9.800098e-04      8.772268e-03
9.900099e-04      8.861289e-03
1.000010e-03      8.950301e-03
1.010010e-03      9.039302e-03
1.020010e-03      9.128293e-03
1.030010e-03      9.217275e-03
1.040010e-03      9.306247e-03
1.050011e-03      9.395208e-03
1.060011e-03      9.484160e-03
1.070011e-03      9.573102e-03
1.080011e-03      9.662034e-03
1.090011e-03      9.750957e-03
1.100011e-03      9.839869e-03
1.110011e-03      9.928771e-03
1.120011e-03      1.001766e-02
1.130011e-03      1.010655e-02
1.140011e-03      1.019542e-02
1.150012e-03      1.028428e-02
1.160012e-03      1.037314e-02
1.170012e-03      1.046198e-02
1.180012e-03      1.055081e-02
1.190012e-03      1.063963e-02
1.200012e-03      1.072845e-02
1.210012e-03      1.081725e-02
1.220012e-03      1.090605e-02
1.230012e-03      1.099483e-02
1.240012e-03      1.108360e-02
1.250013e-03      1.117237e-02
1.260013e-03      1.126112e-02
1.270013e-03      1.134987e-02
1.280013e-03      1.143860e-02
1.290013e-03      1.152732e-02
1.300013e-03      1.161604e-02
