x     v
0.000000e+00      0.000000e+00
1.001001e-03      8.959046e-03
2.002002e-03      1.781889e-02
3.003003e-03      2.658052e-02
4.004004e-03      3.524491e-02
5.005005e-03      4.381304e-02
6.006006e-03      5.228586e-02
7.007007e-03      6.066432e-02
8.008008e-03      6.894935e-02
9.009009e-03      7.714190e-02
1.001001e-02      8.524288e-02
1.101101e-02      9.325321e-02
1.201201e-02      1.011738e-01
1.301301e-02      1.090055e-01
1.401401e-02      1.167492e-01
1.501502e-02      1.244059e-01
1.601602e-02      1.319763e-01
1.701702e-02      1.394613e-01
1.801802e-02      1.468618e-01
1.901902e-02      1.541787e-01
2.002002e-02      1.614127e-01
2.102102e-02      1.685647e-01
2.202202e-02      1.756354e-01
2.302302e-02      1.826258e-01
2.402402e-02      1.895366e-01
2.502503e-02      1.963686e-01
2.602603e-02      2.031225e-01
2.702703e-02      2.097992e-01
2.802803e-02      2.163995e-01
2.902903e-02      2.229240e-01
3.003003e-02      2.293736e-01
3.103103e-02      2.357490e-01
3.203203e-02      2.420509e-01
3.303303e-02      2.482801e-01
3.403403e-02      2.544373e-01
3.503504e-02      2.605231e-01
3.603604e-02      2.665384e-01
3.703704e-02      2.724838e-01
3.803804e-02      2.783600e-01
3.903904e-02      2.841678e-01
4.004004e-02      2.899077e-01
4.104104e-02      2.955804e-01
4.204204e-02      3.011867e-01
4.304304e-02      3.067272e-01
4.404404e-02      3.122025e-01
4.504505e-02      3.176134e-01
4.604605e-02      3.229603e-01
4.704705e-02      3.282441e-01
4.804805e-02      3.334652e-01
4.904905e-02      3.386244e-01
5.005005e-02      3.437222e-01
5.105105e-02      3.487593e-01
5.205205e-02      3.537362e-01
5.305305e-02      3.586536e-01
5.405405e-02      3.635120e-01
5.505506e-02      3.683121e-01
5.605606e-02      3.730544e-01
5.705706e-02      3.777395e-01
5.805806e-02      3.823680e-01
5.905906e-02      3.869404e-01
6.006006e-02      3.914573e-01
6.106106e-02      3.959192e-01
6.206206e-02      4.003267e-01
6.306306e-02      4.046804e-01
6.406406e-02      4.089807e-01
6.506507e-02      4.132282e-01
6.606607e-02      4.174235e-01
6.706707e-02      4.215670e-01
6.806807e-02      4.256592e-01
6.906907e-02      4.297007e-01
7.007007e-02      4.336920e-01
7.107107e-02      4.376336e-01
7.207207e-02      4.415259e-01
7.307307e-02      4.453696e-01
7.407407e-02      4.491649e-01
7.507508e-02      4.529125e-01
7.607608e-02      4.566128e-01
7.707708e-02      4.602663e-01
7.807808e-02      4.638734e-01
7.907908e-02      4.674346e-01
8.008008e-02      4.709503e-01
8.108108e-02      4.744211e-01
8.208208e-02      4.778474e-01
8.308308e-02      4.812295e-01
8.408408e-02      4.845680e-01
8.508509e-02      4.878633e-01
8.608609e-02      4.911158e-01
8.708709e-02      4.943259e-01
8.808809e-02      4.974941e-01
8.908909e-02      5.006207e-01
9.009009e-02      5.037062e-01
9.109109e-02      5.067511e-01
9.209209e-02      5.097556e-01
9.309309e-02      5.127203e-01
9.409409e-02      5.156454e-01
9.509510e-02      5.185315e-01
9.609610e-02      5.213788e-01
9.709710e-02      5.241878e-01
9.809810e-02      5.269588e-01
9.909910e-02      5.296923e-01
1.001001e-01      5.323886e-01
1.011011e-01      5.350481e-01
1.021021e-01      5.376711e-01
1.031031e-01      5.402580e-01
1.041041e-01      5.428092e-01
1.051051e-01      5.453250e-01
1.061061e-01      5.478057e-01
1.071071e-01      5.502518e-01
1.081081e-01      5.526636e-01
1.091091e-01      5.550414e-01
1.101101e-01      5.573855e-01
1.111111e-01      5.596963e-01
1.121121e-01      5.619741e-01
1.131131e-01      5.642192e-01
1.141141e-01      5.664321e-01
1.151151e-01      5.686129e-01
1.161161e-01      5.707620e-01
1.171171e-01      5.728798e-01
1.181181e-01      5.749664e-01
1.191191e-01      5.770224e-01
1.201201e-01      5.790479e-01
1.211211e-01      5.810432e-01
1.221221e-01      5.830087e-01
1.231231e-01      5.849447e-01
1.241241e-01      5.868514e-01
1.251251e-01      5.887291e-01
1.261261e-01      5.905782e-01
1.271271e-01      5.923989e-01
1.281281e-01      5.941914e-01
1.291291e-01      5.959562e-01
1.301301e-01      5.976934e-01
1.311311e-01      5.994033e-01
1.321321e-01      6.010863e-01
1.331331e-01      6.027425e-01
1.341341e-01      6.043722e-01
1.351351e-01      6.059758e-01
1.361361e-01      6.075534e-01
1.371371e-01      6.091053e-01
1.381381e-01      6.106318e-01
1.391391e-01      6.121331e-01
1.401401e-01      6.136095e-01
1.411411e-01      6.150612e-01
1.421421e-01      6.164885e-01
1.431431e-01      6.178916e-01
1.441441e-01      6.192707e-01
1.451451e-01      6.206262e-01
1.461461e-01      6.219582e-01
1.471471e-01      6.232669e-01
1.481481e-01      6.245527e-01
1.491491e-01      6.258156e-01
1.501502e-01      6.270560e-01
1.511512e-01      6.282741e-01
1.521522e-01      6.294701e-01
1.531532e-01      6.306442e-01
1.541542e-01      6.317967e-01
1.551552e-01      6.329277e-01
1.561562e-01      6.340375e-01
1.571572e-01      6.351262e-01
1.581582e-01      6.361941e-01
1.591592e-01      6.372414e-01
1.601602e-01      6.382684e-01
1.611612e-01      6.392751e-01
1.621622e-01      6.402618e-01
1.631632e-01      6.412287e-01
1.641642e-01      6.421761e-01
1.651652e-01      6.431040e-01
1.661662e-01      6.440127e-01
1.671672e-01      6.449024e-01
1.681682e-01      6.457733e-01
1.691692e-01      6.466255e-01
1.701702e-01      6.474592e-01
1.711712e-01      6.482747e-01
1.721722e-01      6.490721e-01
1.731732e-01      6.498516e-01
1.741742e-01      6.506133e-01
1.751752e-01      6.513575e-01
1.761762e-01      6.520843e-01
1.771772e-01      6.527940e-01
1.781782e-01      6.534865e-01
1.791792e-01      6.541622e-01
1.801802e-01      6.548212e-01
1.811812e-01      6.554637e-01
1.821822e-01      6.560898e-01
1.831832e-01      6.566997e-01
1.841842e-01      6.572935e-01
1.851852e-01      6.578715e-01
1.861862e-01      6.584337e-01
1.871872e-01      6.589804e-01
1.881882e-01      6.595116e-01
1.891892e-01      6.600276e-01
1.901902e-01      6.605285e-01
1.911912e-01      6.610144e-01
1.921922e-01      6.614855e-01
1.931932e-01      6.619420e-01
1.941942e-01      6.623839e-01
1.951952e-01      6.628115e-01
1.961962e-01      6.632248e-01
1.971972e-01      6.636241e-01
1.981982e-01      6.640094e-01
1.991992e-01      6.643809e-01
2.002002e-01      6.647387e-01
2.012012e-01      6.650830e-01
2.022022e-01      6.654139e-01
2.032032e-01      6.657315e-01
2.042042e-01      6.660360e-01
2.052052e-01      6.663275e-01
2.062062e-01      6.666062e-01
2.072072e-01      6.668720e-01
2.082082e-01      6.671253e-01
2.092092e-01      6.673661e-01
